AMX.SPC,,,AM9.SPC,,,AM7.SPC,,,AM5.SPC,,,AM3.SPC,,,AM1.SPC,,,,,,,,,AM21.SPC,,,AM22.SPC,,,AM23.SPC,,,,,,,,,AM2X.SPC,,,AA.SPC,
WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,,,,,,,WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,,,,,,,WL/nm,Abs,,WL/nm,Abs
518,0.0157,,518,0.0311,,518,0.0308,,518,0.025,,518,0,,518,-0.0646,,,,,,,,518,0.2544,,518,0.4224,,518,0.5574,,,,,,,,518,0.2084,,318,0.0614
517,0.0148,,517,0.0303,,517,0.0299,,517,0.0241,,517,-0.0009,,517,-0.0649,,,,,,,,517,0.2515,,517,0.4175,,517,0.552,,,,,,,,517,0.2049,,317,0.0619
516,0.0136,,516,0.0293,,516,0.0289,,516,0.023,,516,-0.0019,,516,-0.0654,,,,,,,,516,0.2485,,516,0.4124,,516,0.5465,,,,,,,,516,0.2014,,316,0.0632
515,0.0127,,515,0.0285,,515,0.028,,515,0.022,,515,-0.0027,,515,-0.0657,,,,,,,,515,0.2456,,515,0.4073,,515,0.5409,,,,,,,,515,0.1978,,315,0.0642
514,0.0117,,514,0.0275,,514,0.027,,514,0.021,,514,-0.0037,,514,-0.0661,,,,,,,,514,0.2425,,514,0.402,,514,0.535,,,,,,,,514,0.194,,314,0.0651
513,0.0106,,513,0.0265,,513,0.026,,513,0.02,,513,-0.0048,,513,-0.0664,,,,,,,,513,0.2392,,513,0.3965,,513,0.5288,,,,,,,,513,0.19,,313,0.0667
512,0.0093,,512,0.0254,,512,0.0247,,512,0.0187,,512,-0.0059,,512,-0.0669,,,,,,,,512,0.2359,,512,0.3909,,512,0.5224,,,,,,,,512,0.1859,,312,0.0678
511,0.0082,,511,0.0243,,511,0.0236,,511,0.0175,,511,-0.0069,,511,-0.0673,,,,,,,,511,0.2327,,511,0.3852,,511,0.516,,,,,,,,511,0.1818,,311,0.0691
510,0.0071,,510,0.0232,,510,0.0223,,510,0.0163,,510,-0.008,,510,-0.0677,,,,,,,,510,0.2293,,510,0.3794,,510,0.5095,,,,,,,,510,0.1777,,310,0.0707
509,0.006,,509,0.0221,,509,0.0212,,509,0.0151,,509,-0.009,,509,-0.0681,,,,,,,,509,0.2259,,509,0.3735,,509,0.5027,,,,,,,,509,0.1735,,309,0.0726
508,0.0047,,508,0.0209,,508,0.0199,,508,0.0139,,508,-0.01,,508,-0.0685,,,,,,,,508,0.2225,,508,0.3675,,508,0.4959,,,,,,,,508,0.1693,,308,0.0745
507,0.0036,,507,0.0199,,507,0.0188,,507,0.0128,,507,-0.0109,,507,-0.0688,,,,,,,,507,0.219,,507,0.3614,,507,0.4889,,,,,,,,507,0.1649,,307,0.0773
506,0.0022,,506,0.0184,,506,0.0173,,506,0.0113,,506,-0.0123,,506,-0.0694,,,,,,,,506,0.2155,,506,0.355,,506,0.4817,,,,,,,,506,0.1605,,306,0.0802
505,0.0008,,505,0.0171,,505,0.0159,,505,0.01,,505,-0.0135,,505,-0.0699,,,,,,,,505,0.212,,505,0.3489,,505,0.4745,,,,,,,,505,0.156,,305,0.084
504,-0.0005,,504,0.0158,,504,0.0145,,504,0.0086,,504,-0.0147,,504,-0.0704,,,,,,,,504,0.2084,,504,0.3426,,504,0.4672,,,,,,,,504,0.1515,,304,0.0881
503,-0.0018,,503,0.0145,,503,0.0132,,503,0.0073,,503,-0.0158,,503,-0.0708,,,,,,,,503,0.2047,,503,0.3361,,503,0.4595,,,,,,,,503,0.1469,,303,0.0929
502,-0.0031,,502,0.0131,,502,0.0118,,502,0.0058,,502,-0.017,,502,-0.0713,,,,,,,,502,0.2011,,502,0.3295,,502,0.452,,,,,,,,502,0.1423,,302,0.0986
501,-0.0044,,501,0.0118,,501,0.0104,,501,0.0045,,501,-0.0181,,501,-0.0717,,,,,,,,501,0.1974,,501,0.323,,501,0.4443,,,,,,,,501,0.1377,,301,0.1052
500,-0.0056,,500,0.0105,,500,0.0091,,500,0.0032,,500,-0.0191,,500,-0.0721,,,,,,,,500,0.1942,,500,0.3173,,500,0.4375,,,,,,,,500,0.1335,,300,0.1133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,0.1221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,0.1332
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,0.1457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,0.1617
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,0.1816
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,0.2077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,0.2399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,0.2798
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,0.3217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,0.3657
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,0.4082
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,0.4533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,0.4964
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,0.5367
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,0.5697
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,0.5934
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,0.6096
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,0.6227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,0.6354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,0.6473
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,0.6557
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,0.6578
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,0.6536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,0.6452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,0.6329
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,0.6194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,0.605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,0.5895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,0.5753
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,0.5635
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,0.5519
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,0.5363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,0.518
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,0.5053
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,0.4945
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,0.4767
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,0.4558
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,0.4416
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,0.432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,0.4254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,0.4192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,0.4069
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,0.3893
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.3753
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,0.3687
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,0.367
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,0.3669
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,0.3652
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,0.3635
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,0.3672
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,0.3788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,0.3978
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,0.4215
